"","id","Year","fullCit","count","Source"
"189","Davidson_1977",1977,"Davidson, Sara. Loose Change: Three Women of the Sixties. Garden City, N.Y.: Doubleday, 1977.",7,"Primary Works"
"190","Davidson_1980",1980,"Davidson, Sara. Real Property. Garden City, N.Y.: Doubleday & Co., 1980.",10,"Primary Works"
"191","Didion_1987",1987,"Didion, Joan. Miami. New York: Simon and Schuster, 1987.",9,"Primary Works"
"192","Didion_1983",1983,"Didion, Joan. Salvador. New York: Simon and Schuster, 1983.",4,"Primary Works"
"193","Didion_1968",1968,"Didion, Joan. Slouching Towards Bethlehem. New York: Farrar, Straus & Giroux, 1968. ",8,"Primary Works"
"194","Didion_1979",1979,"Didion, Joan. The White Album. New York: Simon and Schuster, 1979.",7,"Primary Works"
"195","Dunne_1974",1974,"Dunne, John Gregory. Vegas: A Memoir of a Dark Season. New York: Random House, 1974.",2,"Primary Works"
"196","Ehrenreich_2001",2001,"Ehrenreich, Barbara. Nickel and Dimed: On (Not) Getting By in America. New York: Henry Holt and Co., 2001.",8,"Primary Works"
"197","Ehrlich_1985",1985,"Ehrlich, Gretel. The Solace of Open Spaces. New York: Viking, 1985.",11,"Primary Works"
"198","Fadiman_1997",1997,"Fadiman, Anne. The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures. New York: Farrar, Straus and Giroux, 1997.",4,"Primary Works"
"199","Finnegan_1988",1988,"Finnegan, William. Dateline Soweto: Travels With Black South African Reporters. New York: HarperCollins, 1988.",8,"Primary Works"
"200","Fitzgerald_1986",1986,"Fitzgerald, Frances. Cities on a Hill: A Journey through Contemporary American Cultures. New York: Simon and Schuster, 1986.",7,"Primary Works"
"201","Frady_1980",1980,"Frady, Marshall. Southerners: A Journalist's Odyssey. New York: New American Library, 1980.",10,"Primary Works"
"202","Franklin_1980",1980,"Franklin, Jon. “Mrs. Kelly’s Monster,” in Writing for Story: Craft Secrets of Dramatic Nonfiction by a Two-Time Pulitzer Prize Winner. New York: Atheneum, 1986; originally published in the Baltimore Evening Sun, 1978. ——. Shocktrauma. New York: St. Martin's Press, 1980.",10,"Primary Works"
"203","Frazer_1989",1989,"Frazer, Ian. Great Plains. New York: Farrar, Straus & Giroux, 1989.",10,"Primary Works"
"204","Frazer_2000",2000,"Frazer, Ian. On the Rez. New York: Farrar, Straus, Giroux, 2000.",5,"Primary Works"
